timestamp,open,high,low,close,volume
2021-12-10,1.22,5.0,1.22,1.826,65293697.28
2021-12-11,1.823,2.177,1.772,1.879,18380585.07
2021-12-12,1.879,1.997,1.791,1.85,5496512.66
2021-12-13,1.848,1.884,1.347,1.417,8636991.62
2021-12-14,1.422,1.565,1.35,1.419,4751274.82
2021-12-15,1.418,2.076,1.418,1.756,32041417.07
2021-12-16,1.754,1.939,1.681,1.725,8239817.4
2021-12-17,1.727,1.753,1.511,1.598,3608393.52
2021-12-18,1.594,1.697,1.539,1.6,2563809.72
2021-12-19,1.602,1.65,1.57,1.573,1500117.4
2021-12-20,1.574,1.609,1.461,1.517,2047071.66
2021-12-21,1.519,1.838,1.518,1.737,3439373.5
2021-12-22,1.739,1.784,1.608,1.619,3067819.7
2021-12-23,1.619,1.75,1.577,1.681,2353817.05
2021-12-24,1.683,2.2,1.648,2.065,10805878.49
2021-12-25,2.065,2.95,2.03,2.394,32353426.63
2021-12-26,2.395,2.55,2.164,2.461,9435060.46
2021-12-27,2.462,2.548,2.255,2.296,4955982.17
2021-12-28,2.296,2.314,2.05,2.093,4276056.6
2021-12-29,2.097,2.14,1.883,1.921,3828849.06
2021-12-30,1.917,2.348,1.894,2.074,7871474.17
2021-12-31,2.074,2.49,2.07,2.395,8603742.25
2022-01-01,2.401,2.527,2.289,2.4,3310823.52
2022-01-02,2.4,3.425,2.37,2.948,18227674.25
2022-01-03,2.947,3.45,2.733,3.129,22137948.29
2022-01-04,3.131,3.189,2.813,2.889,7097945.86
2022-01-05,2.885,3.16,2.501,2.8,9143547.97
2022-01-06,2.799,2.875,2.504,2.69,8590836.52
2022-01-07,2.687,2.69,2.205,2.344,10318731.14
2022-01-08,2.344,3.108,2.312,2.707,28562973.7
2022-01-09,2.707,3.08,2.665,2.85,13292759.25
2022-01-10,2.849,2.936,2.371,2.57,10753369.35
2022-01-11,2.57,2.786,2.518,2.689,5794546.22
2022-01-12,2.685,3.05,2.683,3.041,7146555.28
2022-01-13,3.04,3.05,2.733,2.771,6241221.2
2022-01-14,2.769,2.893,2.626,2.792,5135083.12
2022-01-15,2.793,2.809,2.72,2.742,2570490.91
2022-01-16,2.741,2.749,2.622,2.65,3598937.23
2022-01-17,2.65,2.658,2.298,2.393,6693799.59
2022-01-18,2.392,2.49,2.15,2.228,4827864.54
2022-01-19,2.23,2.252,2.012,2.105,4726399.28
2022-01-20,2.104,2.512,2.05,2.128,9932416.39
2022-01-21,2.122,2.396,1.62,1.714,21627607.14
2022-01-22,1.711,1.76,1.292,1.48,15827099.04
2022-01-23,1.475,1.689,1.436,1.574,9117432.03
2022-01-24,1.573,1.574,1.278,1.493,10796990.99
2022-01-25,1.495,1.574,1.387,1.483,5271418.47
2022-01-26,1.485,1.715,1.471,1.57,9434329.38
2022-01-27,1.574,1.599,1.455,1.522,4704676.37
2022-01-28,1.521,1.627,1.468,1.566,4460302.44
2022-01-29,1.566,1.68,1.553,1.624,3798043.66
2022-01-30,1.625,1.657,1.503,1.542,3170063.24
2022-01-31,1.545,1.557,1.459,1.554,2735932.57
2022-02-01,1.551,1.593,1.502,1.529,2709097.7
2022-02-02,1.53,1.633,1.453,1.483,4756602.1
2022-02-03,1.483,1.519,1.394,1.461,2998879.5
2022-02-04,1.459,1.602,1.421,1.598,4146849.45
2022-02-05,1.6,1.68,1.557,1.594,3293892.09
2022-02-06,1.596,1.9,1.58,1.786,11613698.34
2022-02-07,1.786,2.065,1.76,1.927,8514603.18
2022-02-08,1.929,2.064,1.761,1.874,4703264.11
2022-02-09,1.874,1.912,1.785,1.869,2991891.08
2022-02-10,1.868,1.9,1.691,1.734,3483861.43
2022-02-11,1.731,1.794,1.553,1.584,2847708.68
2022-02-12,1.583,1.749,1.475,1.595,6301495.15
2022-02-13,1.595,1.774,1.575,1.659,4645965.04
2022-02-14,1.659,1.695,1.574,1.622,3243944.53
2022-02-15,1.624,1.783,1.619,1.755,3334198.45
2022-02-16,1.753,1.755,1.642,1.721,1993107.22
2022-02-17,1.726,1.728,1.54,1.564,2702878.21
2022-02-18,1.566,1.611,1.496,1.513,2303270.4
2022-02-19,1.513,1.549,1.472,1.505,1382443.87
2022-02-20,1.505,1.513,1.317,1.353,2396832.32
2022-02-21,1.352,1.485,1.313,1.316,3190670.99
2022-02-22,1.318,1.41,1.261,1.369,2104300.21
2022-02-23,1.369,1.439,1.343,1.356,2244253.46
2022-02-24,1.354,1.357,1.133,1.265,5938589.35
2022-02-25,1.266,1.464,1.246,1.403,4663424.24
2022-02-26,1.404,1.475,1.374,1.389,2427680.82
2022-02-27,1.39,1.436,1.277,1.311,2364680.59
2022-02-28,1.307,1.566,1.29,1.506,3159141.54
2022-03-01,1.506,1.56,1.476,1.537,3106816.63
2022-03-02,1.538,1.563,1.443,1.48,2623589.47
2022-03-03,1.48,1.519,1.395,1.44,2350180.75
2022-03-04,1.439,1.441,1.316,1.344,2309953.62
2022-03-05,1.346,1.41,1.313,1.4,1547619.81
2022-03-06,1.4,1.425,1.33,1.344,1350176.42
2022-03-07,1.342,1.429,1.313,1.328,1941905.39
2022-03-08,1.327,1.367,1.3,1.321,1946675.16
2022-03-09,1.32,1.429,1.316,1.373,2069942.63
2022-03-10,1.373,1.477,1.316,1.452,4014980.28
2022-03-11,1.453,1.678,1.382,1.384,13561801.02
2022-03-12,1.383,1.555,1.381,1.49,5059613.79
2022-03-13,1.491,1.531,1.41,1.425,2564738.05
2022-03-14,1.425,1.442,1.382,1.419,1497085.3
2022-03-15,1.419,1.436,1.363,1.406,1572028.84
2022-03-16,1.407,1.488,1.391,1.444,2575139.94
2022-03-17,1.444,1.48,1.421,1.437,1416931.74
2022-03-18,1.437,1.445,1.387,1.438,1606609.33
2022-03-19,1.437,1.5,1.426,1.464,1626022.65
2022-03-20,1.465,1.494,1.416,1.443,1216657.29
2022-03-21,1.443,1.485,1.421,1.475,1511303.99
2022-03-22,1.473,1.55,1.432,1.49,2116432.05
2022-03-23,1.492,1.505,1.463,1.502,1044556.78
2022-03-24,1.503,1.7,1.487,1.597,7459547.48
2022-03-25,1.596,1.65,1.549,1.567,1870186.34
2022-03-26,1.569,1.6,1.55,1.587,954363.16
2022-03-27,1.588,1.685,1.585,1.674,1367534.24
2022-03-28,1.672,1.77,1.637,1.67,3073735.28
2022-03-29,1.672,1.963,1.67,1.822,6550660.5
2022-03-30,1.821,2.1,1.818,1.868,7639818.82
2022-03-31,1.868,1.91,1.72,1.747,3186528.96
2022-04-01,1.749,1.845,1.681,1.792,1896620.93
2022-04-02,1.791,2.008,1.786,1.909,4228920.46
2022-04-03,1.911,1.984,1.864,1.897,2102825.46
2022-04-04,1.896,1.9,1.795,1.861,1413057.1
2022-04-05,1.86,1.899,1.8,1.809,972048.88
2022-04-06,1.808,1.845,1.612,1.637,2141974.18
2022-04-07,1.637,1.71,1.587,1.631,1580564.43
2022-04-08,1.628,1.67,1.536,1.546,1157863.44
2022-04-09,1.544,1.571,1.501,1.543,1223650.5
2022-04-10,1.543,1.692,1.538,1.597,2064842.51
2022-04-11,1.596,1.64,1.39,1.446,3196336.86
2022-04-12,1.446,1.521,1.431,1.472,1437165.37
2022-04-13,1.473,1.529,1.442,1.504,1179518.42
2022-04-14,1.506,1.574,1.434,1.449,1363566.46
2022-04-15,1.446,1.53,1.446,1.518,861599.84
2022-04-16,1.518,1.527,1.456,1.468,660349.13
2022-04-17,1.468,1.499,1.433,1.442,579963.73
2022-04-18,1.44,1.46,1.354,1.416,1683578.36
2022-04-19,1.418,1.513,1.406,1.479,1212022.67
2022-04-20,1.477,1.501,1.42,1.438,1170242.19
2022-04-21,1.438,1.484,1.39,1.401,1093952.34
2022-04-22,1.401,1.44,1.377,1.396,968821.8
2022-04-23,1.397,1.407,1.378,1.38,442703.41
2022-04-24,1.381,1.388,1.305,1.309,802527.01
2022-04-25,1.31,1.369,1.265,1.363,1538284.42
2022-04-26,1.362,1.382,1.269,1.286,1266389.52
2022-04-27,1.289,1.45,1.279,1.33,3688049.84
2022-04-28,1.327,1.466,1.306,1.377,2032231.1
2022-04-29,1.376,1.564,1.333,1.481,7558639.04
2022-04-30,1.48,1.505,1.281,1.294,5449941.27
2022-05-01,1.294,1.435,1.265,1.367,9826510.63
2022-05-02,1.366,1.61,1.357,1.53,8770478.96
2022-05-03,1.53,2.1,1.451,1.48,36039096.95
2022-05-04,1.481,1.65,1.461,1.573,8316143.24
2022-05-05,1.575,1.73,1.333,1.379,6648808.95
2022-05-06,1.377,1.459,1.3,1.338,6978883.99
2022-05-07,1.339,1.352,1.186,1.223,4235738.26
2022-05-08,1.224,1.324,1.16,1.253,7277839.02
2022-05-09,1.253,1.293,1.0,1.001,9355118.48
2022-05-10,1.003,1.11,0.8,0.926,9489306.52
2022-05-11,0.921,0.964,0.598,0.619,6457126.33
2022-05-12,0.62,0.67,0.56,0.609,3320924.44
2022-05-13,0.608,0.953,0.565,0.704,4332678.3
2022-05-14,0.705,0.756,0.613,0.734,2928124.37
2022-05-15,0.74,0.865,0.692,0.782,2549260.1
2022-05-16,0.782,0.782,0.693,0.713,1665871.57
2022-05-17,0.711,0.775,0.696,0.752,1730102.32
2022-05-18,0.751,0.759,0.64,0.642,2190866.07
2022-05-19,0.643,0.75,0.63,0.714,2474033.39
2022-05-20,0.713,0.765,0.638,0.67,2496364.36
2022-05-21,0.671,0.705,0.657,0.693,1094974.74
2022-05-22,0.693,0.717,0.67,0.698,1582858.45
2022-05-23,0.699,0.75,0.685,0.692,2123364.93
2022-05-24,0.691,0.75,0.663,0.729,2274847.81
2022-05-25,0.73,0.898,0.721,0.736,8745342.16
2022-05-26,0.737,0.745,0.664,0.669,3590795.02
2022-05-27,0.668,0.683,0.628,0.648,2578658.22
2022-05-28,0.649,0.663,0.637,0.655,985473.85
2022-05-29,0.655,0.679,0.64,0.678,863619.59
2022-05-30,0.679,0.733,0.673,0.722,2043823.96
2022-05-31,0.722,0.737,0.681,0.697,2317852.12
2022-06-01,0.698,0.707,0.642,0.656,2022292.93
2022-06-02,0.656,0.758,0.649,0.73,7095750.55
2022-06-03,0.73,0.73,0.65,0.663,2722995.17
2022-06-04,0.662,0.679,0.65,0.676,1234240.79
2022-06-05,0.677,0.678,0.65,0.663,791406.84
2022-06-06,0.661,0.695,0.656,0.666,1374872.27
2022-06-07,0.665,0.68,0.636,0.659,1919506.82
2022-06-08,0.659,0.668,0.64,0.651,1960030.99
2022-06-09,0.653,0.662,0.641,0.646,1163690.19
2022-06-10,0.645,0.648,0.583,0.599,2915078.45
2022-06-11,0.599,0.664,0.553,0.572,7406633.19
2022-06-12,0.572,0.574,0.502,0.502,3026897.05
2022-06-13,0.502,0.508,0.4,0.424,6102628.3
2022-06-14,0.425,0.598,0.405,0.453,11100777.63
2022-06-15,0.452,0.496,0.412,0.481,5233302.58
2022-06-16,0.481,0.487,0.42,0.428,1785985.14
2022-06-17,0.429,0.461,0.426,0.453,1209355.43
2022-06-18,0.452,0.461,0.38,0.413,2624850.92
2022-06-19,0.414,0.475,0.395,0.464,2160177.17
2022-06-20,0.464,0.495,0.428,0.442,3850961.54
2022-06-21,0.442,0.495,0.437,0.449,2131286.93
2022-06-22,0.45,0.454,0.43,0.435,1410553.49
2022-06-23,0.435,0.474,0.433,0.469,1152495.08
2022-06-24,0.47,0.486,0.456,0.47,1539995.19
2022-06-25,0.47,0.481,0.451,0.473,1657468.3
2022-06-26,0.473,0.524,0.461,0.461,3809597.3
2022-06-27,0.461,0.477,0.445,0.453,1130573.04
2022-06-28,0.452,0.466,0.432,0.436,1143615.62
2022-06-29,0.435,0.442,0.418,0.425,1042484.48
2022-06-30,0.425,0.427,0.397,0.42,1329102.0
2022-07-01,0.42,0.443,0.412,0.419,1329889.59
2022-07-02,0.419,0.431,0.412,0.429,738395.91
2022-07-03,0.429,0.442,0.408,0.416,1813247.43
2022-07-04,0.415,0.44,0.41,0.434,794439.35
2022-07-05,0.434,0.44,0.415,0.43,780261.43
2022-07-06,0.43,0.461,0.422,0.441,2931052.2
2022-07-07,0.441,0.47,0.428,0.454,1522194.35
2022-07-08,0.453,0.473,0.435,0.451,1665782.53
2022-07-09,0.45,0.472,0.448,0.457,968658.1
2022-07-10,0.458,0.46,0.43,0.434,980698.59
2022-07-11,0.432,0.441,0.404,0.412,1160246.81
2022-07-12,0.411,0.423,0.4,0.403,576200.82
2022-07-13,0.402,0.451,0.394,0.432,2956091.48
2022-07-14,0.433,0.484,0.416,0.462,4024672.59
2022-07-15,0.463,0.464,0.433,0.442,1598949.89
2022-07-16,0.443,0.457,0.429,0.454,975226.66
2022-07-17,0.453,0.471,0.445,0.453,1647396.19
2022-07-18,0.453,0.52,0.452,0.48,3315738.43
2022-07-19,0.48,0.503,0.462,0.494,2024294.6
2022-07-20,0.494,0.533,0.473,0.481,2655924.29
2022-07-21,0.481,0.493,0.467,0.492,1258491.73
2022-07-22,0.492,0.504,0.479,0.484,778745.14
2022-07-23,0.484,0.529,0.48,0.51,1920491.34
2022-07-24,0.511,0.519,0.501,0.504,962252.72
2022-07-25,0.504,0.51,0.458,0.459,1254077.72
2022-07-26,0.46,0.468,0.448,0.467,771064.59
2022-07-27,0.467,0.507,0.467,0.504,1607153.11
2022-07-28,0.503,0.526,0.487,0.508,1816740.12
2022-07-29,0.507,0.55,0.505,0.531,3034355.03
2022-07-30,0.529,0.58,0.52,0.535,2286508.41
2022-07-31,0.535,0.655,0.535,0.573,6380376.75
2022-08-01,0.574,0.781,0.557,0.682,22035998.81
2022-08-02,0.683,0.684,0.595,0.625,3170989.19
2022-08-03,0.626,0.642,0.605,0.611,1585401.49
2022-08-04,0.611,0.625,0.573,0.586,1827635.22
2022-08-05,0.587,0.625,0.582,0.614,1453957.09
2022-08-06,0.613,0.621,0.605,0.609,692959.32
2022-08-07,0.608,0.626,0.593,0.622,829981.13
2022-08-08,0.621,0.664,0.617,0.64,2088245.06
2022-08-09,0.64,0.675,0.585,0.664,2092549.6
2022-08-10,0.663,0.905,0.652,0.752,27636620.96
2022-08-11,0.752,0.78,0.736,0.765,4125265.31
2022-08-12,0.766,0.98,0.753,0.912,18992995.16
2022-08-13,0.914,1.235,0.91,1.115,30335142.72
2022-08-14,1.115,1.208,1.03,1.049,15102783.84
2022-08-15,1.05,1.089,0.94,0.943,5662876.39
2022-08-16,0.943,0.997,0.916,0.95,4004474.12
2022-08-17,0.95,1.115,0.934,1.064,14317019.14
2022-08-18,1.064,1.158,0.946,0.976,11996960.28
2022-08-19,0.979,0.986,0.814,0.831,7409619.3
2022-08-20,0.829,0.95,0.829,0.916,7141855.4
2022-08-21,0.916,0.925,0.86,0.888,3418738.91
2022-08-22,0.889,0.89,0.82,0.854,3864963.8
2022-08-23,0.853,0.875,0.813,0.852,2612912.49
2022-08-24,0.854,0.88,0.815,0.849,2565133.42
2022-08-25,0.85,1.007,0.849,0.981,11577725.47
2022-08-26,0.98,1.0,0.882,0.899,5757726.02
2022-08-27,0.9,1.148,0.886,1.003,12637567.01
2022-08-28,1.003,1.132,0.954,1.015,8564082.4
2022-08-29,1.014,1.105,0.983,1.035,6655506.2
2022-08-30,1.035,1.046,0.955,0.975,4369317.56
2022-08-31,0.975,1.036,0.971,0.988,2697833.33
2022-09-01,0.99,0.99,0.912,0.96,2856725.48
2022-09-02,0.961,1.02,0.955,0.995,2985194.85
2022-09-03,0.995,1.033,0.987,1.005,1561142.22
2022-09-04,1.007,1.212,1.007,1.208,9814118.62
